feature,age_slope,age_corr,volume_corr,outcome_corr,univar_auc,p_MW_corr
PD_WM_firstorder_MeanAbsoluteDeviation,-0.01491571805788077,-0.011558655559463577,0.2187278924689691,0.6522548841716141,0.8491512345679013,5.651516575045316e-05
PD_WM_firstorder_Mean,0.008933398600545199,0.20493270929243917,0.023249083542349995,0.6348792417654032,0.8425925925925926,0.000128133662152211
PD_WM_firstorder_Median,0.00784256384762999,0.2453397085323467,-0.06228696379188373,0.5038936297801201,0.7596450617283951,0.03145859370711764
PD_WM_firstorder_Minimum,0.0927992555497159,0.0740848647418543,-0.15007395974017623,-0.3849373086914445,0.7272376543209876,1.0
PD_WM_firstorder_Range,-0.14905579233155442,0.024244199543944498,0.22422663836902698,0.7872502597891,0.9247685185185185,4.798971244347718e-08
PD_WM_firstorder_RobustMeanAbsoluteDeviation,-0.011085320901596057,-0.024952529411098254,0.2043539777477652,0.609484072094787,0.8244598765432098,0.0004083054394999314
PD_WM_firstorder_RootMeanSquared,0.00810775619223233,0.21230577927326694,0.0246639655283298,0.6776500538422304,0.8661265432098766,1.645544187959636e-05
PD_WM_firstorder_Skewness,0.004518199877156268,0.1822017599192323,0.01302334555276867,0.7230940416738593,0.8888888888888888,1.6182921645467102e-06
PD_WM_firstorder_TotalEnergy,-302097.29182934994,0.1291414135069872,0.9882629107981222,0.2619712239705664,0.6215277777777778,1.0
PD_WM_firstorder_Uniformity,0.0001996861229870174,0.1966420301655259,-0.0194867837159946,0.43171788440047415,0.7202932098765432,0.3961217011093645
PD_WM_firstorder_Variance,-0.11220645269518832,0.017386278557410397,0.22567367676377906,0.6856695811066356,0.8942901234567902,1.104257610462225e-05
PD_WM_glcm_Autocorrelation,-1.0131963294551725,-0.10225707536728781,-0.20010933178982576,-0.7712112052602899,0.945216049382716,1.1878700234096825e-07
PD_WM_glcm_ClusterProminence,-40.85325371564194,-0.17136753263299412,0.20477201106180465,0.3074152118021953,0.6759259259259258,1.0
PD_WM_glcm_ClusterShade,0.730938076209274,0.02793073453435837,0.09679079040452762,0.6134938357269897,0.8236882716049383,0.0003410318957371668
PD_WM_glcm_ClusterTendency,-0.23071870216304544,-0.19017047092471207,0.12000771753810535,-0.12430267259827896,0.5709876543209876,1.0
PD_WM_glcm_Contrast,-0.04381894540418291,-0.24556508621735018,-0.10074602868351663,-0.5159229206767276,0.7997685185185186,0.019928998083128452
PD_WM_glcm_Correlation,-0.0007617841156847605,0.04512383221890866,0.2764164898064185,0.557357144876154,0.7947530864197532,0.0038354934836373504
PD_WM_glcm_DifferenceAverage,-0.004986175218545808,-0.2489135546802588,-0.10441185928355522,-0.5065668055349217,0.7935956790123456,0.02844803664397258
